subject_id,group,covariate_X,target_Y,window_index,lag_steps,lag_ms,f_stat_manual,p_value_manual,f_stat_statsmodels,p_value_statsmodels
sub-001,A,P3,Fp1,0,5,10,23.534225878491547,1.6231833577216566e-21,23.5342258784849,1.6231833577434316e-21
sub-001,A,P3,Fp1,0,10,20,8.761875509129977,2.0970121318310894e-13,8.76187550895112,2.0970121333069585e-13
sub-001,A,P3,Fp1,0,20,40,5.971367396660453,2.3465286360908468e-14,5.971367396175575,2.3465286440226018e-14
sub-001,A,P3,Fp1,0,30,60,3.255121243847705,3.48927715761885e-08,3.2551212436255605,3.489277164678267e-08
sub-001,A,P3,Fp1,0,40,80,2.554205784273806,1.4898779579224243e-06,2.5542057842918218,1.4898779576373426e-06
sub-001,A,P3,Fp1,0,50,100,2.332287250117786,2.5292781141325836e-06,2.3322872502047454,2.5292781114753743e-06
sub-001,A,P3,Fp1,1,5,10,16.38668540184092,4.085712713001027e-15,16.38668540185565,4.0857127128742496e-15
sub-001,A,P3,Fp1,1,10,20,10.626289022867413,1.4226137455927105e-16,10.62628902276952,1.4226137461341806e-16
sub-001,A,P3,Fp1,1,20,40,6.166884883267119,6.006881191036608e-15,6.166884883632219,6.0068811757573294e-15
sub-001,A,P3,Fp1,1,30,60,3.158434561621029,8.393086931696423e-08,3.158434561475591,8.393086942740293e-08
sub-001,A,P3,Fp1,1,40,80,2.831847062236316,7.405844568909025e-08,2.831847062154113,7.40584457559311e-08
sub-001,A,P3,Fp1,1,50,100,3.322992637102099,7.672858424861438e-12,3.3229926372537877,7.672858409397413e-12
sub-001,A,P3,Fp1,2,5,10,16.190345199609474,6.178900106337283e-15,16.190345199668773,6.17890010556506e-15
sub-001,A,P3,Fp1,2,10,20,4.013018921314005,2.515594615627461e-05,4.013018920834639,2.5155946201946095e-05
sub-001,A,P3,Fp1,2,20,40,3.266532343297801,2.735811147076957e-06,3.2665323436373153,2.7358111409830888e-06
sub-001,A,P3,Fp1,2,30,60,3.182283639911605,6.76292219355584e-08,3.18228364027779,6.762922171112258e-08
sub-001,A,P3,Fp1,2,40,80,3.1843009621564557,1.4578134749274606e-09,3.1843009624329306,1.457813470378673e-09
sub-001,A,P3,Fp1,2,50,100,3.4225614206573645,2.0389646909440674e-12,3.4225614193728124,2.0389647258620554e-12
sub-001,A,P3,Fp1,3,5,10,39.905424075354226,3.8226493343069304e-35,39.90542407537439,3.8226493341665595e-35
sub-001,A,P3,Fp1,3,10,20,6.526659243269997,1.4199113140047883e-09,6.526659243518564,1.4199113126123494e-09
sub-001,A,P3,Fp1,3,20,40,4.729579461202785,1.3323673223112308e-10,4.729579461375808,1.3323673207143495e-10
sub-001,A,P3,Fp1,3,30,60,3.2051484162723716,5.496284142933494e-08,3.2051484161687402,5.4962841481037415e-08
sub-001,A,P3,Fp1,3,40,80,2.8450280159647487,6.407397499591171e-08,2.845028015753911,6.407397514442973e-08
sub-001,A,P3,Fp1,3,50,100,2.5415511995195006,1.9295485018576714e-07,2.541551199243762,1.9295485085043265e-07
sub-001,A,P3,Fp1,4,5,10,21.049640722941074,2.5358545115087606e-19,21.049640722945227,2.535854511487211e-19
sub-001,A,P3,Fp1,4,10,20,12.719085831311927,4.4736167214335783e-20,12.719085830412856,4.4736167367859164e-20
sub-001,A,P3,Fp1,4,20,40,5.411105088131418,1.166433071551299e-12,5.411105087994006,1.1664330726682734e-12
sub-001,A,P3,Fp1,4,30,60,3.956666272385733,5.236148761145474e-11,3.956666272391756,5.2361487608491914e-11
sub-001,A,P3,Fp1,4,40,80,2.9941620155421855,1.2297313752092966e-08,2.9941620151734654,1.2297313802596517e-08
sub-001,A,P3,Fp1,4,50,100,2.5570271467912105,1.5900232429349993e-07,2.557027146630508,1.5900232461338004e-07
sub-001,A,Fp1,P3,0,5,10,5.017440860118577,0.0001656099082914347,5.017440860314319,0.00016560990822238659
sub-001,A,Fp1,P3,0,10,20,3.87472966796245,4.241268624857675e-05,3.8747296678611782,4.241268626475648e-05
sub-001,A,Fp1,P3,0,20,40,3.5633447985848496,3.8302784544634605e-07,3.5633447975163213,3.830278481810236e-07
sub-001,A,Fp1,P3,0,30,60,3.857636035049312,1.3250532604987668e-10,3.8576360347994845,1.3250532635979631e-10
sub-001,A,Fp1,P3,0,40,80,2.8854938956250535,4.1030200213714084e-08,2.8854938945548696,4.1030200698290595e-08
sub-001,A,Fp1,P3,0,50,100,2.625053780430903,6.75980827357362e-08,2.625053780168466,6.759808295973869e-08
sub-001,A,Fp1,P3,1,5,10,4.245483259465412,0.0008484723431161614,4.245483259441538,0.0008484723431587071
sub-001,A,Fp1,P3,1,10,20,7.9885985667302,4.4169738473586585e-12,7.988598566293331,4.4169738549737115e-12
sub-001,A,Fp1,P3,1,20,40,5.242976614924222,3.7628914988707155e-12,5.242976614967726,3.762891497730906e-12
sub-001,A,Fp1,P3,1,30,60,3.977171961657591,4.31900475883101e-11,3.9771719615023358,4.3190047651294765e-11
sub-001,A,Fp1,P3,1,40,80,3.69543615540001,4.24347458019584e-12,3.6954361549739554,4.243474601042243e-12
sub-001,A,Fp1,P3,1,50,100,3.6373738589743456,1.153869276907186e-13,3.6373738591429152,1.1538692743006117e-13
sub-001,A,Fp1,P3,2,5,10,5.326945420326589,8.553834911034674e-05,5.326945420392473,8.553834909829616e-05
sub-001,A,Fp1,P3,2,10,20,1.3011079918067618,0.22629703276124702,1.3011079916752857,0.22629703283423888
sub-001,A,Fp1,P3,2,20,40,2.09525526957734,0.003706493264911177,2.09525526821493,0.003706493293068743
